Exp or Imp,Year,Country,Value-Year,Value-Jan,Value-Feb,Value-Mar,Value-Apr,Value-May,Value-Jun,Value-Jul,Value-Aug,Value-Sep,Value-Oct,Value-Nov,Value-Dec
1,2023,103,4855157346,513124163,531717719,620164555,532026766,490294714,550784814,525350695,512845683,578848237,0,0,0
1,2023,105,12743420927,967589543,1316489755,1551803017,1445633002,1341256898,1518553006,1543445130,1434801643,1623848933,0,0,0
1,2023,106,4431165130,420498674,522303390,571401336,540003654,436791879,496373457,485441146,451563507,506788087,0,0,0
1,2023,107,74874516,3586926,5059778,9482429,9754730,7327603,11254162,9670619,9557553,9180716,0,0,0
1,2023,108,3330512542,255753653,363244083,373068564,357817637,332688462,434514605,375052913,378367057,460005568,0,0,0
1,2023,110,1701619292,152525522,179885335,199306437,186034770,155452616,194075723,201183078,210287020,222868791,0,0,0
1,2023,111,3087415106,301821504,344211018,380682604,344213252,292046386,349459033,374609936,326958200,373413173,0,0,0
1,2023,112,2008211709,219168671,202669123,253908760,248739014,208535169,253737333,205184365,197127894,219141380,0,0,0
1,2023,113,1434034955,140248397,163136282,176480865,145922157,167463478,165347324,150146229,153756499,171533724,0,0,0
1,2023,116,5721993,446906,497253,966128,526962,426724,881274,462334,793065,721347,0,0,0
1,2023,117,1036081800,108811721,113575832,114736139,112999568,104349243,118900661,127657062,106979236,128072338,0,0,0
1,2023,118,1509635551,154772362,159889408,177842455,149299045,163239572,173121326,183666814,171656453,176148116,0,0,0
1,2023,120,51105100,4006357,5961164,6261731,6168430,6288398,5585830,5853317,4776740,6203133,0,0,0
1,2023,121,11475383,398595,1343553,1369166,1534036,1253343,1498325,1347303,1486894,1244168,0,0,0
1,2023,122,39712372,4565088,4599263,4827653,5362807,3918628,4580962,4001681,3221818,4634472,0,0,0
1,2023,123,1650147468,153170390,185218916,210083982,168378078,175448364,185708068,191607907,182249826,198281937,0,0,0
1,2023,124,98127550,7165547,9190140,9486115,8384878,11256688,12466721,11524448,11878678,16774335,0,0,0
1,2023,125,15807751,966119,2109586,1775611,1899214,1764470,1513257,1794866,1754414,2230214,0,0,0
1,2023,126,3911103,372978,600160,442761,376330,352775,443989,347961,407808,566341,0,0,0
1,2023,127,172855524,21276870,16960167,25445452,21596782,20622358,17189539,14507239,18784882,16472235,0,0,0
1,2023,128,1067747,9655,64199,181853,83565,124903,135287,144830,119690,203765,0,0,0
1,2023,129,49777689,3266057,5219050,6073631,6809832,4766482,7984714,4622830,4660498,6374595,0,0,0
1,2023,130,1789038,117738,183075,154681,243599,178210,280919,271872,169982,188962,0,0,0
1,2023,131,3717317,143158,335911,302074,227507,258553,723070,1009407,362824,354813,0,0,0
1,2023,132,179813,7307,17196,18135,8597,11772,16780,33389,56826,9811,0,0,0
1,2023,133,5935084,445390,796809,791596,699852,731782,412463,555507,508667,993018,0,0,0
1,2023,134,88561982,7001272,6685798,10464486,10075896,11452748,9912651,11068781,9655404,12244946,0,0,0
1,2023,135,68462038,6340081,6981107,7309676,6657449,6019740,7606638,5997126,10187160,11363061,0,0,0
1,2023,137,640384788,57499315,69472326,95627619,65086813,57005334,69412987,74553910,69407379,82319105,0,0,0
1,2023,138,201922364,16143847,21514282,28392609,24957804,17979568,25118502,21604087,21094016,25117649,0,0,0
1,2023,140,146896162,13978187,16882380,21511365,18483538,13904608,17820527,16257056,12525811,15532690,0,0,0
1,2023,141,117456785,10162979,12201594,17059059,14110754,12427126,13514284,14457180,11005903,12517906,0,0,0
1,2023,143,153042166,14520278,14096603,24842553,18033334,20368984,14926995,16812521,12323587,17117311,0,0,0
1,2023,144,51431958,5861079,5028777,5928351,6960479,5478621,5461794,6007621,5519111,5186125,0,0,0
1,2023,145,435234,117468,20945,9805,111282,75161,46023,22738,8698,23114,0,0,0
1,2023,146,32763051,3906195,1998726,3177323,2512778,4347189,2969537,3243452,5726180,4881671,0,0,0
1,2023,147,960647802,92533902,111939931,120935549,103858225,96228221,115579234,112720599,91134032,115718109,0,0,0
1,2023,149,23152277,1800518,2147699,2536087,2786783,2615028,2607101,2467666,2641960,3549435,0,0,0
1,2023,150,6083183,737823,364044,358442,1051824,298578,440870,915291,1328557,587754,0,0,0
1,2023,151,2707259,200523,152371,455031,268367,370625,301993,301909,411024,245416,0,0,0
1,2023,152,21683148,1220472,2120563,2579892,3656713,2187991,2646542,1570815,1909351,3790809,0,0,0
1,2023,153,97469211,8245022,11577353,16219585,8815724,7483026,12877272,12010002,9756896,10484331,0,0,0
1,2023,154,2816518,542349,225325,432433,249994,251131,375131,201926,323912,214317,0,0,0
1,2023,155,3726402,143737,345110,571756,422022,169773,362006,315850,358737,1037411,0,0,0
1,2023,156,18609185,233983,844591,1746573,1571096,2316536,2255993,3201091,2529692,3909630,0,0,0
1,2023,157,49527792,4735900,4973248,6600909,6460800,4229794,7137718,5761005,4979553,4648865,0,0,0
